NGS PlD,STATION DESIGNATION,ORDER,NORTHING,EASTING,ELEVATION,DESCRIPTION
DH6469,DELPHINE,2 CM N,2227366.9,6822225.15,2088.91,CADT SURVEY DISK
DH6464,DEW DROP,2 CM N,2171649.06,6822976.19,1774.54,CADT SURVEY DISK
DH6466,DOG BAR,1 CM N,2190701.31,6832110.61,2468.7,CADT SURVEY DISK
DH6465,HOGE,1 CM N,2229242.62,6844936.69,2914.31,CADT SURVEY DISK
DH6467,PONDEROSA,1 CM N,2202240.29,6814580.25,2329.45,CADT SURVEY DISK
DH6435,SHADY GLEN,1 CM N,2170687.17,6859733.38,2453.16,CADT SURVEY DISK
,NEV-49-10.39,2 CM N,2184218.83,6827404,2265.79,CADT BDIC
,NEV-49-10.60,2 CM N,2185331.16,6828261.38,2284.2,CADT BDIC
,NEV-49-12.86,2 CM N,2196712.01,6830225.92,2358.91,CADT BDIC
,NEV-49-13.66,2 CM N,2200344.82,6828203.18,2448.92,CADT BDIC
,NEV-49-13.96,2 CM N,2201389.95,6827140.45,2409.85,CADT BDIC
,CM 10.90,2 CM L,2186505.99,6828863.07,2260.81,#6 REBAR WITH CENTER PUNCH
,CM 10.99,2 CM L,2187051.01,6829001.34,2235.97,#6 REBAR WITH CENTER PUNCH
,CM 11.10,2 CM L,2187502.9,6829096.06,2248.2,#6 REBAR WITH CENTER PUNCH
,CM 11.21,2 CM L,2188082.92,6829085.19,2274.52,#6 REBAR WITH CENTER PUNCH
,CM 11.30,2 CM L,2188542.03,6829216.15,2290.21,#6 REBAR WITH CENTER PUNCH
,CM 11.43,2 CM L,2188949.42,6829434.07,2284.92,#6 REBAR WITH CENTER PUNCH
,CM 11.62,2 CM L,2190199.15,6829831.53,2326.09,#6 REBAR WITH CENTER PUNCH
,CM 11.76,2 CM L,2190690.01,6829797.35,2352.73,#6 REBAR WITH CENTER PUNCH
,CM 11.90,2 CM L,2191599.58,6829930.53,2395.61,#6 REBAR WITH CENTER PUNCH
,CM 11.98,2 CM L,2192174.55,6829979.1,2414.84,#6 REBAR WITH CENTER PUNCH
,CM 12.04,2 CM L,2192471.17,6829965.47,2423.87,#6 REBAR WITH CENTER PUNCH
,CM 12.19,2 CM L,2193275.1,6830069.13,2434.95,#6 REBAR WITH CENTER PUNCH
,CM 12.38,2 CM L,2193682.8,6830174.59,2438.35,#6 REBAR WITH CENTER PUNCH
,CM 12.49,2 CM L,2194257.46,6830195.24,2441.8,#6 REBAR WITH CENTER PUNCH
,CM 12.54,2 CM L,2194589.25,6830289.7,2434.37,#6 REBAR WITH CENTER PUNCH
,CM 12.59,2 CM L,2195320.98,6830331.22,2390.92,#6 REBAR WITH CENTER PUNCH
,CM 12.68,2 CM L,2195815.11,6830430.92,2369.01,#6 REBAR WITH CENTER PUNCH
,CM 12.70,2 CM L,2196495.19,6830376.03,2361.45,#6 REBAR WITH CENTER PUNCH
,CM 12.73,2 CM L,2196085.46,6830431.76,2366.98,#6 REBAR WITH CENTER PUNCH
,CM 12.92,2 CM L,2197073.13,6830208.73,2371.2,#6 REBAR WITH CENTER PUNCH
,CM 13.03,2 CM L,2197612.32,6829965.8,2386.01,#6 REBAR WITH CENTER PUNCH
,CM 13.16,2 CM L,2198237.32,6829539.67,2393.52,#6 REBAR WITH CENTER PUNCH
,CM 13.34,2 CM L,2198929.3,6829306.69,2399.89,#6 REBAR WITH CENTER PUNCH
,CM 13.53,2 CM L,2199903.21,6828695.79,2418.4,CADT BDIC
,RC-24-013,2 CM L,2187021.33,6828918.65,2418.4,
,RC-24-012,2 CM L,2187268.88,6828977.05,2418.4,
,A-24-014,2 CM L,2187556.82,6829031.62,2418.4,
,A-24-015,2 CM L,2187843.83,6829032.04,2418.4,
,A-24-016,2 CM L,2188081.6,6829096.2,2418.4,
,A-24-018,2 CM L,2188279.11,6829140.65,2418.4,
,A-24-019,2 CM L,218855.72,6829217.4,2418.4,
,RC-24-011,2 CM L,2189037.5,6829468.15,2418.4,
,A-25-003,2 CM L,2189227.4,6829531.7,2418.4,
,A-24-017,2 CM L,2189401.54,6829656.62,2418.4,
,A-25-001,2 CM L,2819466.7,6829615,2418.4,
,A-25-002,2 CM L,2189517.6,6829637.9,2418.4,
,A-25-006,2 CM L,2189665.29,6829696.41,2418.4,
